ip_address,total_in,total_out,total_bytes,kb_per_sec,avg_iat,protocol,is_malicious
64:ff9b::284f:ad29,1,2,222,0.0,0.07159034411112468,1,0
20.207.73.85,12,10,7586,0.0,0.003201639652252197,1,0
64:ff9b::1261:2441,5,4,1198,0.0,0.2505069573720296,1,0
162.159.200.1,1,1,180,0.0,0.01852250099182129,2,0
64:ff9b::14be:918c,1,2,222,0.0,0.00782314936319987,1,0
192.168.29.86,0,2,132,0.0,0.7495474815368652,1,0
2603:1063:10:13e::365:7ea3,1,0,74,0.0,0.0,1,0
2404:6800:4009:80d::200a,10,9,2589,0.0,0.8725461081454629,2,0
64:ff9b::287e:1221,0,1,86,0.0,0.0,1,0
2603:1061:14:81::1,11,10,11395,0.0,0.007205021381378174,1,0
2a03:2880:f288:cc:face:b00c:0:167,95,83,39283,0.0,0.16970698833465575,1,0
64:ff9b::34b7:dc95,7,2,774,0.0,0.37574587927924263,1,0
2603:1061:11:1::254,10,10,11328,0.0,0.006685972213745117,1,0
52.167.17.97,23,26,13883,0.0,0.005894863605499267,1,0
2603:1020:5:10::575,13,13,10291,0.0,0.11120357513427734,1,0
64:ff9b::cc4f:c5de,4,3,1590,0.0,0.007094178880964007,1,0
64:ff9b::68d0:105c,1,1,161,0.0,0.05584609508514404,1,0
64:ff9b::14cf:4955,12,11,8575,0.0,0.08953412771224975,1,0
2606:4700:9ae3:ce55:6dde:50b:5caa:d12d,187,189,142516,5.6,0.08347616195678711,1,0
2a03:2880:f358:120:face:b00c:0:167,26,21,21044,0.0,0.021789288520812987,2,0
2a03:2880:f379:120:face:b00c:0:167,24,19,23159,0.0,0.036363625526428224,2,0
192.168.0.102,0,2,132,0.0,1.3760077953338623,1,0
